cluster,n_atoms,E_cluster,BE_per_atom
C-169395-3151-8,240,-8.8418935237428,-7.333158776984405
C-169395-3151-80,240,-9.556178106154384,-7.330182591224356
C-169395-3151-81,240,-8.626034675056898,-7.33405818885393
C-169395-3151-82,240,-8.975641791890496,-7.332601492533789
C-169395-3151-83,240,-8.779325963273036,-7.333419475153028
C-169395-3151-84,240,-9.268443220551164,-7.331381486581036
C-169395-3151-85,240,-8.33227998285968,-7.335282166738084
C-169395-3151-86,240,-10.82227049360218,-7.324907206276658
C-169395-3151-87,240,-8.548468703867847,-7.33438138040055
C-169395-3151-88,240,-8.547710993393597,-7.3343845375275265
C-169395-3151-89,240,-8.365929377922553,-7.335141960925323
C-169395-3151-9,240,-8.820204954556655,-7.3332491460226805
C-169395-3151-90,240,-8.821103485370413,-7.333245402144289
C-169395-3151-91,240,-8.984380009360837,-7.332565083294329
C-169395-3151-92,240,-8.449044233527953,-7.334795649026967
C-169395-3151-93,240,-8.843066627929456,-7.333153889050294
C-169395-3151-94,240,-9.606597086086234,-7.329972512141308
C-169395-3151-96,240,-8.548881383717069,-7.334379660901178
C-169395-3151-97,240,-11.13660365292729,-7.323597484779469
C-169395-3151-98,240,-8.66799819141188,-7.333883340869117
C-169395-3151-99,240,-8.38981013685854,-7.335042457763089
C-187658-4107-1,240,-8.088235647623861,-7.3362990181349
C-187658-4107-10,240,-8.816918206727198,-7.333262840805303
C-187658-4107-100,240,-8.98438218377718,-7.332565074234262
C-187658-4107-101,240,-13.83447505765734,-7.312356353926428
C-187658-4107-103,240,-8.975647910325824,-7.332601467040309
C-187658-4107-104,240,-8.486196350100068,-7.33464084854125
C-187658-4107-106,240,-8.918900594851602,-7.332837914188119
C-187658-4107-107,240,-8.975637092255292,-7.332601512115603
C-187658-4107-108,240,-8.936062610068003,-7.332766405791384
C-187658-4107-109,240,-9.665116813241797,-7.329728679944825
C-187658-4107-11,240,-8.45578103982186,-7.334767579000742
C-187658-4107-112,240,-8.44858005896524,-7.334797583087645
C-187658-4107-113,240,-8.08189968335847,-7.336325417986006
C-187658-4107-114,240,-8.45576398901552,-7.334767650045768
C-187658-4107-115,240,-10.01576084209744,-7.328267663157927
C-187658-4107-116,240,-9.105742661006248,-7.332059405579141
C-187658-4107-117,240,-9.106611593674197,-7.332055785026357
C-187658-4107-118,240,-8.06956563887687,-7.336376809838013
C-187658-4107-119,240,-9.665116602119946,-7.3297286808245
C-187658-4107-12,240,-8.819058537171363,-7.333253922761786
