cluster	n_atoms	BE_per_atom	E_cluster	BE_category	size_category	energy_category	stability_index	size_efficiency	structural_category	density_category	compactness	be_rank	size_rank	efficiency_rank
C-53965-5632-345	240	-7.328711002933709	-9.909359295909733	Low	Very Large	Medium E	0.31755851039305955	-1.3361863879014284	Spherical	Low Density	10.338056841519888	583.0	2616.0	583.0
C-53965-5632-346	240	-7.3351393769984545	-8.366549520370809	Very Low	Very Large	Medium E	0.1361814471431036	-1.3373584229179836	Spherical	Low Density	10.322316798967448	4739.0	2616.0	4738.0
C-53965-5632-347	240	-7.332868973627972	-8.911446329286512	Low	Very Large	Medium E	0.2002410509532194	-1.336944478081372	Spherical	Low Density	10.772929164566012	2375.0	2616.0	2375.0
C-53965-5632-349	240	-7.332612892036236	-8.972905911303423	Low	Very Large	Medium E	0.20746641254445378	-1.3368977887335542	Spherical	Low Density	10.331031560416255	2025.0	2616.0	2025.0
C-53965-5632-35	240	-7.332564969249314	-8.984407380164678	Low	Very Large	Medium E	0.20881855762299162	-1.3368890513477398	Intermediate	Low Density	10.483537351965944	1556.0	2616.0	1556.0
C-53965-5632-350	240	-7.331422175566991	-9.258677863922085	Low	Very Large	Medium E	0.24106256830325248	-1.3366806947401606	Intermediate	Low Density	10.438713616726046	1108.0	2616.0	1108.0
C-53965-5632-351	240	-7.330054796589668	-9.586848818479544	Low	Very Large	Medium E	0.27964327016638396	-1.3364313912574786	Spherical	Low Density	10.016813187972804	945.0	2616.0	945.0
C-53965-5632-352	240	-7.3344239243450575	-8.538258157186277	Very Low	Very Large	Medium E	0.15636799818393302	-1.337227980047979	Intermediate	Low Density	10.614938124704638	4122.0	2616.0	4121.0
C-53965-5632-354	240	-7.326842946127955	-10.3576929292908	Low	Very Large	Low E	0.37026587527244276	-1.3358457997578004	Spherical	Low Density	10.15035094386792	414.0	2616.0	414.0
C-53965-5632-355	240	-7.330433108478703	-9.496053965111203	Low	Very Large	Medium E	0.2689691714386788	-1.3365003658965804	Intermediate	Low Density	10.390321693905896	997.0	2616.0	997.0
C-53965-5632-356	240	-7.332767289811078	-8.935850445341153	Low	Very Large	Medium E	0.20311006758209418	-1.336925938868685	Intermediate	Low Density	10.3905010071326	2308.0	2616.0	2308.0
C-53965-5632-357	240	-7.333980894864817	-8.644585232443854	Very Low	Very Large	Medium E	0.1688681086706275	-1.3371472059581426	Spherical	Low Density	10.155254364299825	3545.0	2616.0	3545.0
C-53965-5632-358	240	-7.3224732682587055	-11.40641561791052	Medium	Very Large	Low E	0.4935566687592831	-1.3350491106693552	Spherical	Low Density	10.252937523144404	111.0	2616.0	111.0
C-53965-5632-359	240	-7.33256504133782	-8.98439007892302	Low	Very Large	Medium E	0.20881652364031575	-1.3368890644910716	Linear	Low Density	10.202690658949168	1735.0	2616.0	1735.0
C-53965-5632-360	240	-7.333260441534006	-8.817494031838493	Very Low	Very Large	Medium E	0.18919575420511037	-1.3370158513538521	Spherical	Low Density	10.11719403147648	2749.0	2616.0	2749.0
C-53965-5632-361	240	-7.332766400897516	-8.936063784595957	Low	Very Large	Medium E	0.2031351483458504	-1.3369257768000482	Intermediate	Low Density	10.402108281502004	2237.0	2616.0	2237.0
C-53965-5632-363	240	-7.334758070341901	-8.458063117943807	Very Low	Very Large	Medium E	0.14694004346415596	-1.337288902266412	Linear	Low Density	10.465824375758812	4368.0	2616.0	4367.0
C-53965-5632-364	240	-7.3338893540126255	-8.666555036969774	Very Low	Very Large	Medium E	0.17145094077882658	-1.3371305160326445	Spherical	Low Density	10.574865174536546	3451.0	2616.0	3451.0
C-53965-5632-366	240	-7.326798586763998	-10.36833917664029	Low	Very Large	Low E	0.37151747810093316	-1.3358377120629423	Intermediate	Low Density	10.514696675059357	381.0	2616.0	381.0
C-53965-5632-367	240	-7.326703782059463	-10.39109230572893	Low	Very Large	Low E	0.37419240005130144	-1.3358204270648493	Intermediate	Low Density	9.711705084672017	377.0	2616.0	377.0
C-53965-5632-368	240	-7.3320804515106595	-9.100691637441708	Low	Very Large	Medium E	0.22248926247690778	-1.3368007130291968	Linear	Low Density	10.05857448758376	1345.0	2616.0	1345.0
C-53965-5632-369	240	-7.333015784456502	-8.876211730439447	Very Low	Very Large	Medium E	0.19609877225820235	-1.3369712449480964	Intermediate	Low Density	10.637183752696783	2441.0	2616.0	2441.0
C-53965-5632-37	240	-7.328895140479618	-9.86516628489162	Low	Very Large	Medium E	0.31236305552768034	-1.3362199602557274	Intermediate	Low Density	10.630442324687252	650.0	2616.0	650.0
